다가라, 111, 198
바차바, 77, 171
자자바, 84, 155
나다나, 91, 151
파자바, 113, 184
사라다, 92, 165
자자카, 73, 156
바아사, 68, 166
아나차, 61, 154
아카다, 108, 169
차다라, 87, 159
다카마, 52, 184
다카라, 54, 197
바차사, 98, 167
아카다, 107, 165
바마가, 119, 183
카자나, 114, 191
차바차, 60, 152
하하라, 62, 184
나자타, 52, 158
카바사, 83, 174
차다타, 60, 165
사가파, 90, 167
자가나, 87, 156
다아카, 61, 180
파하차, 64, 173
타다차, 102, 181
다나아, 61, 187
가바라, 105, 167
차바파, 58, 164
나하차, 79, 166
마라파, 99, 159
사차사, 98, 185
차나사, 54, 185
마마나, 69, 164
바다바, 62, 191
바차자, 99, 175
라카다, 69, 182
타자마, 118, 176
바바마, 75, 184
하타카, 78, 151
나마라, 105, 157
파자차, 92, 163
아하다, 117, 185
나카나, 69, 153
바가자, 80, 163
가카나, 86, 183
가파하, 116, 176
마아차, 112, 165
사라자, 107, 171
타바마, 108, 177
아아파, 100, 195
아마라, 92, 189
자파마, 82, 154
나파자, 97, 152
다사나, 50, 169
바다타, 106, 186
카아하, 108, 191
사마바, 113, 152
차차마, 66, 151
하나라, 114, 169
파아아, 83, 173
사라나, 119, 187
마나타, 94, 192
마아라, 110, 198
하나바, 76, 185
사카가, 89, 186
카카사, 113, 187
파가하, 86, 185
자가가, 71, 185
카마파, 116, 166
자나사, 64, 156
자카바, 54, 191
차하타, 65, 172
타자바, 119, 186
차파차, 67, 195
마마차, 90, 155
아바마, 98, 185
아마라, 58, 181
아바카, 81, 166
바나다, 82, 195
나나타, 53, 189
바바마, 82, 171
자나사, 100, 152
라차카, 118, 163
하파아, 78, 176
파타라, 62, 180
나사파, 82, 164
사사나, 86, 170
다사바, 64, 163
라카가, 98, 164
아자마, 81, 158
마라차, 61, 171
카마마, 106, 184
타파사, 80, 193
아카자, 50, 186
자바사, 104, 185
라카카, 117, 183
라마마, 64, 176
마아사, 114, 173
